file,barcode,sample,group,protein,Run,Lane,Oligo,system,color,batch,bam
fastq/01_0307_00CWCCF_HCT116_AHT_CTCF_hs_i72,NA,HCT116_CTCF,HCT116,CTCF,r1,1,2,colon,#ABABAB,1120,fastq/kundaje_encode/01_0307_00CWCCF_HCT116_AHT_CTCF_hs_i72/align/rep1/01_0307_00CWCCF_HCT116_AHT_CTCF_hs_i72.nodup.bam
fastq/02_0308_00CWCCF_DKO_AHT_CTCF_hs_i73,NA,DKO_CTCF,DKO,CTCF,r1,1,2,colon,#030303,1120,fastq/kundaje_encode/02_0308_00CWCCF_DKO_AHT_CTCF_hs_i73/align/rep1/02_0308_00CWCCF_DKO_AHT_CTCF_hs_i73.nodup.bam
fastq/07_030P_00CWCCF_HCT116_AHT_SMC1_hs_i86,NA,HCT116_SMC1,HCT116,SMC1,r1,1,2,colon,#ABABAB,1120,fastq/kundaje_encode/07_030P_00CWCCF_HCT116_AHT_SMC1_hs_i86/align/rep1/07_030P_00CWCCF_HCT116_AHT_SMC1_hs_i86.nodup.bam
fastq/08_030Q_00CWCCF_DKO_AHT_SMC1_hs_i87,NA,DKO_SMC1,DKO,SMC1,r1,1,2,colon,#030303,1120,fastq/kundaje_encode/08_030Q_00CWCCF_DKO_AHT_SMC1_hs_i87/align/rep1/08_030Q_00CWCCF_DKO_AHT_SMC1_hs_i87.nodup.bam
fastq/13_031N_00CWCCF_HCT116_AHT_RAD21_hs_i72,NA,HCT116_RAD21,HCT116,RAD21,r1,1,2,colon,#ABABAB,1120,fastq/kundaje_encode/13_031N_00CWCCF_HCT116_AHT_RAD21_hs_i72/align/rep1/13_031N_00CWCCF_HCT116_AHT_RAD21_hs_i72.nodup.bam
fastq/14_031O_00CWCCF_DKO_AHT_RAD21_hs_i73,NA,DKO_RAD21,DKO,RAD21,r1,1,2,colon,#030303,1120,fastq/kundaje_encode/14_031O_00CWCCF_DKO_AHT_RAD21_hs_i73/align/rep1/14_031O_00CWCCF_DKO_AHT_RAD21_hs_i73.nodup.bam
fastq/19_030B_00CWCCF_HCT116_AHT_H3K27Ac_hs_i79,NA,HCT116_H3K27Ac,HCT116,H3K27Ac,r1,1,2,colon,#ABABAB,1120,fastq/kundaje_encode/19_030B_00CWCCF_HCT116_AHT_H3K27Ac_hs_i79/align/rep1/19_030B_00CWCCF_HCT116_AHT_H3K27Ac_hs_i79.nodup.bam
fastq/20_030C_00CWCCF_DKO_AHT_H3K27Ac_hs_i80,NA,DKO_H3K27Ac,DKO,H3K27Ac,r1,1,2,colon,#030303,1120,fastq/kundaje_encode/20_030C_00CWCCF_DKO_AHT_H3K27Ac_hs_i80/align/rep1/20_030C_00CWCCF_DKO_AHT_H3K27Ac_hs_i80.nodup.bam
fastq/25_031J_00CWCCF_HCT116_AHT_Pol2Ser5_hs_i68,NA,HCT116_Pol2Ser5,HCT116,Pol2Ser5,r1,1,2,colon,#ABABAB,1120,fastq/kundaje_encode/25_031J_00CWCCF_HCT116_AHT_Pol2Ser5_hs_i68/align/rep1/25_031J_00CWCCF_HCT116_AHT_Pol2Ser5_hs_i68.nodup.bam
fastq/26_031K_00CWCCF_DKO_AHT_Pol2Ser5_hs_i69,NA,DKO_Pol2Ser5,DKO,Pol2Ser5,r1,1,2,colon,#030303,1120,fastq/kundaje_encode/26_031K_00CWCCF_DKO_AHT_Pol2Ser5_hs_i69/align/rep1/26_031K_00CWCCF_DKO_AHT_Pol2Ser5_hs_i69.nodup.bam
fastq/31_031F_00CWCCF_HCT116_AHT_Pol2Ser2_hs_i93,NA,HCT116_Pol2Ser2,HCT116,Pol2Ser2,r1,1,2,colon,#ABABAB,1120,fastq/kundaje_encode/31_031F_00CWCCF_HCT116_AHT_Pol2Ser2_hs_i93/align/rep1/31_031F_00CWCCF_HCT116_AHT_Pol2Ser2_hs_i93.nodup.bam
fastq/32_031G_00CWCCF_DKO_AHT_Pol2Ser2_hs_i94,NA,DKO_Pol2Ser2,DKO,Pol2Ser2,r1,1,2,colon,#030303,1120,fastq/kundaje_encode/32_031G_00CWCCF_DKO_AHT_Pol2Ser2_hs_i94/align/rep1/32_031G_00CWCCF_DKO_AHT_Pol2Ser2_hs_i94.nodup.bam
fastq/SRR_HCT116_merged,NA,HCT116_Mbd,HCT116,Mbd,r1,1,2,colon,#ABABAB,1120,fastq/bt2/HCT116_Mbd.bam
fastq/SRR030220,NA,DKO_Mbd,DKO,Mbd,r1,1,2,colon,#030303,1120,fastq/bt2/DKO_Mbd.bam
